,pep,icit,glu__D,3pg,r5p,met__L,akg,oaa,f6p,phe__L,trp__L,rmn,for,ile__L,rib__D,ser__D,acgam,cit,ac,pyr,glc__D,pro__L
1A01,0,0,1,0,1,0,1,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0
3B05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
3C02,0,0,0,1,1,1,1,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0
3D05,0,0,0,0,1,0,1,0,1,0,1,1,1,0,1,0,0,1,0,0,0,0
4A10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4B03,0,0,0,1,1,1,1,1,1,1,1,1,1,0,0,0,1,1,0,0,0,0
4E07,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4F10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5C01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6C06,0,0,0,0,1,0,1,0,1,1,1,1,0,1,1,1,0,0,0,0,0,0
6D02,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,1,1,1,0,1,0,1
6D03,0,0,0,0,1,1,1,0,1,1,0,1,0,0,0,1,0,0,0,0,0,0
A1R12,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
A2M03,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
A3M17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
A3R04,0,0,0,0,1,1,1,1,1,1,1,1,1,1,0,1,1,1,0,0,0,0
A3R06,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
A3R12,0,0,0,1,0,1,1,0,1,1,1,1,1,0,1,0,1,0,0,0,0,0
A3R16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
B2M06,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
B2M13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
B2M17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
B3M02,0,0,0,1,1,1,1,0,1,0,1,1,0,1,1,0,0,0,1,0,0,0
B3R10,0,0,0,1,1,0,1,1,1,0,1,0,1,0,1,0,1,0,0,0,0,0
B3R18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
C1M14,0,0,0,0,0,1,0,0,1,1,1,1,1,1,0,1,1,0,0,0,0,0
C1R06,0,0,0,0,1,0,0,1,1,0,1,0,0,0,1,0,1,0,0,0,0,0
C2M11,0,0,0,1,1,1,1,1,1,0,1,0,1,0,1,0,0,0,0,0,0,0
C2R02,0,0,0,0,1,1,1,1,1,1,1,1,1,0,1,1,0,0,0,0,0,0
C2R09,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
C3M06,0,0,0,0,1,1,1,1,1,1,1,0,0,1,0,1,1,1,0,0,0,0
C3M10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
C3R12,0,0,0,0,0,1,1,1,0,1,0,0,0,1,0,1,0,0,0,0,0,0
C3R15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
C3R17,0,0,0,0,1,1,1,1,1,1,1,0,1,1,1,0,0,1,0,0,1,0
D2M02,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
D2M19,0,0,0,0,0,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,0,1
D2R04,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
D2R05,0,0,0,0,1,1,0,0,1,1,1,1,0,1,0,0,0,0,0,0,0,0
D2R18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
D3R19,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
E2M01,0,0,0,0,1,1,0,0,0,1,1,1,0,1,1,0,0,0,1,1,0,0
E3M09,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
E3M17,0,0,0,1,1,0,0,1,0,1,0,1,0,0,1,1,1,1,1,1,1,1
E3M18,0,0,0,1,1,1,1,1,0,1,1,0,1,1,1,0,0,0,1,0,0,0
E3R01,0,0,0,1,1,0,1,0,1,1,1,1,1,1,1,0,1,1,1,1,1,0
E3R09,0,0,0,0,1,1,1,1,1,1,1,1,1,0,1,0,1,1,0,0,0,0
E3R11,0,0,0,1,1,1,0,0,1,0,1,1,1,0,1,1,0,0,0,0,0,0
E3R11_,0,0,0,1,1,0,0,1,0,0,0,0,0,0,1,0,0,1,1,0,0,0
E3R18,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0
F2R14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
F3M07,0,0,0,0,1,1,0,1,0,1,0,1,1,1,1,1,1,1,1,1,1,1
F3M07_,0,0,0,0,0,1,0,1,0,1,0,1,1,1,1,0,0,1,1,1,1,1
F3R08,0,0,0,0,0,1,0,1,1,1,1,1,1,1,0,1,1,1,1,1,0,1
F3R11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
G2M07,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
G2R10,0,0,0,1,1,1,1,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0
G2R14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
G3M19,0,0,0,0,0,0,0,0,0,1,0,1,0,1,1,0,1,1,1,1,1,1
I2M19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
I2R16,0,0,0,0,1,1,0,0,1,0,1,1,1,0,1,0,1,0,0,0,0,0
I3M07,0,0,1,1,1,1,1,1,1,1,0,0,0,0,0,1,0,0,0,0,0,0
